Appeal Type,Valid on Receipt,Not Valid on Receipt,Not Validated
Enforcement Notice,808,1429,286
Appeal against Enforcement Listed Building Notice/Enforcement Conservation Area Notice,39,29,7
Lawful Development Certificate,565,301,39
Planning Appeal,3951,4995,605
Advert Discontinuance,2,4,2
Householder (HAS),2954,1290,205
Commercial Appeal Service (CAS),388,83,24
Rights of Way,24,8,204
Environmental,21,21,174
Tree Preservation Order,59,62,388
