"Original","Final"
0.99774843454361,0.999854803085327
0.999239087104797,0.999837398529053
0.999351799488068,0.999351799488068
0.999573528766632,0.998952746391296
0.999774158000946,0.999485969543457
0.999702155590057,0.999702155590057
0.988567590713501,0.990835189819336
0.99734890460968,0.999844789505005
0.988699615001678,0.99045193195343
0.999715268611908,0.973727524280548
0.999408841133118,0.993817269802094
0.998706340789795,0.998706340789795
0.993844747543335,0.998126685619354
0.988000571727753,0.996497452259064
0.990314900875092,0.999595701694489
0.99923038482666,0.998238801956177
0.999703824520111,0.999789774417877
0.999835252761841,0.999837160110474
0.996944844722748,0.999011397361755
0.997418880462646,0.995094418525696
0.650856792926788,0.98536878824234
